Date,Mkt-RF and SMB,Mkt-RF and HML,SMB and HML
1926-10-20,-0.43854516929002635,0.0710776098136684,-0.09418815939828731
1926-10-21,-0.4247536425929316,0.10772991615938068,-0.09797613071230711
1926-10-22,-0.43493054325762603,0.10714380086659632,-0.07835419144659485
1926-10-23,-0.41411225731751344,0.11070615441266238,-0.06921279585152695
1926-10-25,-0.41191671817000053,0.1098663280915066,-0.06719726457068986
1926-10-26,-0.3989856963802116,0.13366152992399613,-0.09075461238622479
1926-10-27,-0.4039428808690343,0.14489963093434638,-0.1042355035797775
1926-10-28,-0.3968336040692362,0.1449353432556089,-0.09391815118277344
1926-10-29,-0.39372413058548356,0.15153621207133286,-0.10024620970085041
1926-10-30,-0.3960746538272356,0.15026601118675792,-0.09013694639752923
1926-11-01,-0.39050464378312116,0.13367316867521314,-0.07162660088617663
1926-11-03,-0.394490453738597,0.14714809401977297,-0.06382251864210375
1926-11-04,-0.4094045256931556,0.17427716945283406,-0.041165042857612674
1926-11-05,-0.4094382085583998,0.17561633616760014,-0.038942034540116834
1926-11-06,-0.41825401956433694,0.17980004335466124,-0.03715018319790694
1926-11-08,-0.4117710762288639,0.18968397155588462,-0.044104998558690704
1926-11-09,-0.4229237353080345,0.17950459417078507,-0.06535662380258893
1926-11-10,-0.4266313554875435,0.17693888998974902,-0.06457796787543568
1926-11-11,-0.4218696500791383,0.17664850383092104,-0.06036585512924003
1926-11-12,-0.4165402738420039,0.17948195143499918,-0.0703624903349908
1926-11-13,-0.41412671833522346,0.178414582736485,-0.06569772565703164
1926-11-15,-0.41677171693661613,0.19255478345655141,-0.07160558297045608
1926-11-16,-0.41439547506446756,0.21843786656976738,-0.13295679319182227
1926-11-17,-0.4061241189403217,0.20804850213689968,-0.1252148064324925
1926-11-18,-0.40888183703793446,0.20899948464683454,-0.12370705368008703
1926-11-19,-0.4162933394676186,0.2126085313627272,-0.12190737816177201
1926-11-20,-0.41064949431537684,0.23412270004734534,-0.14060234872318567
1926-11-22,-0.39974392205308434,0.22940119081300228,-0.14880388232588868
1926-11-23,-0.39820582674840077,0.24003439439871901,-0.15358774772683156
1926-11-24,-0.40498904347851233,0.23806187565083967,-0.15753186990067994
1926-11-26,-0.408977980130844,0.24637941067508304,-0.15503805915509652
1926-11-27,-0.4088517111529202,0.2524317752859971,-0.1549193498722194
1926-11-29,-0.3901000824392277,0.27207500824258096,-0.1625002621529525
1926-11-30,-0.38350992088045277,0.2729323138290848,-0.17254136167277562
1926-12-01,-0.35979314231132264,0.251115932363508,-0.1511140137599766
1926-12-02,-0.3453724721058003,0.2470037927119645,-0.13778241051741452
1926-12-03,-0.3561834848308878,0.2655671321627351,-0.13167025001238414
1926-12-04,-0.3599431311542003,0.26831839616334163,-0.1522219105814391
1926-12-06,-0.342001701957323,0.27761756171526614,-0.17232569261748804
1926-12-07,-0.34264326105560106,0.27564802062660654,-0.19022732513307097
1926-12-08,-0.3399472809282117,0.2783831040921189,-0.18474797702937193
1926-12-09,-0.3505905395656018,0.29294319526885276,-0.17663764999274656
1926-12-10,-0.3524113046793695,0.29370697563603493,-0.18230224081681495
